2020Mar21-17:16:26 root DEBUG Hello world!
2020Mar21-17:16:26 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1695309824, percent=79.2, used=6440370176, free=1695309824) 
2020Mar21-17:16:26 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1695309824, percent=79.2, used=6440370176, free=1695309824) 
2020Mar21-17:16:26 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1695309824, percent=79.2, used=6440370176, free=1695309824) 
2020Mar21-17:16:26 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1695309824, percent=79.2, used=6440370176, free=1695309824) 
2020Mar21-17:16:26 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1695309824, percent=79.2, used=6440370176, free=1695309824) 
2020Mar21-17:16:26 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1695309824, percent=79.2, used=6440370176, free=1695309824) 
2020Mar21-17:16:26 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1695309824, percent=79.2, used=6440370176, free=1695309824) 
2020Mar21-17:16:26 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1695309824, percent=79.2, used=6440370176, free=1695309824) 
2020Mar21-17:16:26 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1695309824, percent=79.2, used=6440370176, free=1695309824) 
2020Mar21-17:16:26 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1695309824, percent=79.2, used=6440370176, free=1695309824) 
2020Mar21-17:16:26 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1695309824, percent=79.2, used=6440370176, free=1695309824) 
2020Mar21-17:16:26 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1695309824, percent=79.2, used=6440370176, free=1695309824) 
2020Mar21-17:16:26 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1695309824, percent=79.2, used=6440370176, free=1695309824) 
2020Mar21-17:16:26 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1695309824, percent=79.2, used=6440370176, free=1695309824) 
2020Mar21-17:16:26 root INFO cpu:0.0% mem:svmem(total=8135680000, available=1695309824, percent=79.2, used=6440370176, free=1695309824) 
